ons_id,party_name,firstname,surname,votes,share,change
E14000535,UK Independence Party,Simon,Ashcroft,10150,0.21409437,0.194735917
E14000535,Liberal Democrat,Philip,Smith,7030,0.148284081,-0.184668861
E14000535,Justice for Men & Boys,Mike,Buchanan,153,0.003227235,
E14000536,Conservative,Damian,Green,30094,0.524541588,-0.016873651
E14000536,UK Independence Party,Gerald,O'Brien,10798,0.188210277,0.142763144
E14000536,Labour,Brendan,Chilton,10580,0.184410514,0.017626062
E14000536,Liberal Democrat,Debbie,Enever,3433,0.059837551,-0.168141066
E14000536,Green,Mandy,Rossi,2467,0.04300007,0.024625511
E14000537,Labour,Angela,Rayner,19366,0.49761036,0.01353459
E14000537,Conservative,Tracy,Sutton,8610,0.22123439,-0.026215651
E14000537,UK Independence Party,Maurice,Jackson,8468,0.217585693,0.173716001
E14000537,Green,Charlotte,Hughes,1531,0.039339123,
E14000537,Liberal Democrat,Carly,Hicks,943,0.024230433,-0.124161532
E14000538,Conservative,David,Lidington,28083,0.506739566,-0.014986479
E14000538,UK Independence Party,Chris,Adams,10925,0.197134557,0.129172479
E14000538,Labour,Will,Cass,8391,0.151410166,0.025474347
E14000538,Liberal Democrat,Steven,Lambert,5885,0.106191018,-0.178185041
E14000538,Green,David,Lyons,2135,0.038524694,
S14000006,Scottish National Party,Corri,Wilson,25492,0.488268306,0.307935794
S14000006,Labour,Sandra,Osborne,14227,0.27250091,-0.198856378
S14000006,Conservative,Lee,Lyons,10355,0.198337451,-0.057060975
S14000006,UK Independence Party,Joseph,Adam-Smith,1280,0.024516846,
S14000006,Liberal Democrat,Richard,Brodie,855,0.016376487,-0.076535286
E14000539,Conservative,Victoria,Prentis,30749,0.530082058,0.001944222
E14000539,Labour,Sean,Woodcock,12354,0.212970625,0.021419977
E14000539,UK Independence Party,Dickie,Bird,8050,0.138773962,0.088881535
E14000539,Liberal Democrat,John,Howson,3440,0.059302165,-0.144748261
E14000539,Green,Ian,Middleton,2686,0.046303958,0.029252341
E14000539,National Health Action Party,Roseanne,Edwards,729,0.012567232,
S14000007,Scottish National Party,Eilidh,Whiteford,27487,0.602401981,0.189881834
S14000007,Conservative,Alex,Johnstone,13148,0.28815008,-0.019680212
S14000007,Labour,Sumon ,Hoque,2647,0.058011352,-0.081904417
S14000007,Liberal Democrat,David,Evans,2347,0.051436586,-0.06204025
E14000540,Labour,Margaret,Hodge,24826,0.576798866,0.033649979
E14000540,UK Independence Party,Roger,Gravett,9554,0.221974397,0.193304039
E14000540,Conservative,Mina,Rahman,7019,0.163077066,-0.014965851
E14000540,Green,Tony,Rablen,897,0.020840594,0.013849438
E14000540,Liberal Democrat,Peter,Wilcock,562,0.013057317,-0.068961958
